V1,V2
CREBBP,467
SP1,424
CSRP3,415
NCOA1,402
SMAD1,400
NCOR1,381
SMAD5,375
NCOA2,371
NCOR2,366
ARNT,356
NFKB2,356
AR,350
TP53,342
SMAD3,340
JUN,339
SOX10,334
NFKB1,332
MEIS1,330
IRF4,329
SPI1,325
TBP,321
SMARCA4,320
IRF8,310
CDKN2A,309
CREB1,309
SRF,309
FOS,308
SMAD2,307
RUNX1T1,303
NFATC2,289
ID2,288
NFYA,282
SMAD7,282
PBX1,276
TCF3,274
FLI1,270
RXRA,270
ZNF446,269
RUNX1,266
ZNF512B,266
GATA2,265
GATA4,265
PAX6,265
GATA1,264
ID1,259
E2F1,258
ID3,256
CEBPB,255
GABPB1,255
MAFG,255
MYC,255
SOX8,255
WT1,255
ETS1,253
PKNOX1,243
HAND2,242
MITF,241
RXRB,241
GABPA,240
CEBPG,236
PROX1,234
TTN,229
NR1D2,228
IKZF4,227
FOXA2,225
MAFF,224
NR2F1,224
SMAD4,223
YY1,223
NCOA3,222
NFYB,220
HMGA1,217
NCOA6,217
DRAP1,213
ESR1,213
MYB,212
CREB3L3,210
RXRG,210
ATF1,209
NR5A1,208
RCOR1,206
ARNTL,204
RFX1,203
PGR,202
LEF1,201
MEF2C,200
NFE2L2,198
USF1,194
ARID3A,192
RELA,192
SP3,191
REST,185
ZBTB16,185
CEBPE,183
POU2F1,179
STAT3,178
MYF6,173
REL,171
NR0B2,170
RELB,170
TSC22D1,169
PAX3,168
SMARCB1,168
ZHX1,165
SKIL,163
TFDP2,162
IRF3,161
SMARCA2,161
NR1H3,160
NR4A1,160
E2F3,159
SIX3,159
TAF1,159
NR3C1,158
HOXC8,155
ZNF165,155
ZNF417,155
DACH1,154
FOXO1,154
MECP2,154
SIX1,154
SOX5,154
ZBTB43,154
SMAD6,150
BRCA1,148
MSX2,148
DDIT3,147
FOXG1,147
MEF2A,146
EZH2,144
NR4A3,144
ZNF250,144
AFF1,143
MAFK,142
HEYL,139
NR1D1,138
SMAD9,138
MLLT3,136
MXD1,136
ATRX,135
E2F2,135
ZBTB17,135
HNF1A,134
GLI3,133
SPIB,132
NKX2-5,129
SATB1,129
NFIL3,128
NR1H2,128
SOX6,128
TCF4,126
