"","x"
"hsa-miR-206",2.72284388657868
"hsa-miR-1269a",2.48162677056752
"hsa-miR-767-5p",2.41170281645615
"hsa-miR-133b",3.10471080644222
"hsa-miR-105-5p",2.31545540665199
"hsa-miR-133a-5p",2.86482829750513
"hsa-miR-1269b",1.26554488667155
"hsa-miR-375",4.20924798109956
"hsa-miR-508-5p",1.08403026329971
"hsa-miR-31-5p",2.43743939729382
"hsa-miR-675-5p",0.0208582315072503
"hsa-miR-9-5p",1.29126714932092
"hsa-miR-1-3p",2.3770762880317
"hsa-miR-187-5p",1.39874660832761
"hsa-miR-1247-5p",1.79635912160045
"hsa-miR-6087",1.63732191863346
"hsa-miR-6510-5p",1.97112150531198
"hsa-miR-509-3-5p",0.392961923169032
"hsa-miR-514a-5p",0.767707169994133
"hsa-miR-509-5p",0.280717590443232
"hsa-miR-184",0.0690008240647342
"hsa-miR-20b-5p",0.318594916828436
"hsa-miR-204-5p",2.61960193719691
"hsa-miR-577",0.524003734959274
"hsa-miR-1293",2.30074092242342
"hsa-miR-196a-5p",3.06287538555872
"hsa-miR-203a-3p",0.0641137525802211
"hsa-miR-5683",0.911370342255078
"hsa-miR-891a-5p",1.41786974547925
"hsa-miR-150-5p",0.232701572130702
"hsa-miR-451a",1.24066395438637
"hsa-miR-1911-5p",0.387700477430594
"hsa-miR-4326",1.56460976502151
"hsa-miR-144-5p",1.06298628799454
"hsa-miR-129-5p",0.101430758642084
"hsa-miR-210-5p",3.13049642646869
"hsa-miR-196b-5p",3.66678691831992
"hsa-miR-363-5p",0.502076824974402
"hsa-miR-203b-5p",1.13284028621505
"hsa-miR-3607-5p",0.896697887567458
"hsa-miR-412-5p",0.551643313245413
"hsa-miR-3648",1.66042156868729
"hsa-miR-149-5p",0.41827817580516
"hsa-miR-519a-5p",0.663437206066835
"hsa-miR-3065-5p",0.482518562101458
"hsa-miR-584-5p",0.476720836380514
"hsa-miR-99a-5p",2.34234003701727
"hsa-miR-4652-5p",2.1292028579993
"hsa-miR-137",0.533785143185255
"hsa-miR-526b-5p",0.166710473321607
"hsa-miR-1266-5p",0.499928685223019
"hsa-miR-296-5p",0.195984252319725
"hsa-miR-34c-5p",0.566827122840587
"hsa-miR-10a-5p",0.316281653792259
"hsa-miR-106a-5p",0.626187327939877
"hsa-miR-1304-5p",0.768531093298269
"hsa-miR-516a-5p",0.342772713559306
"hsa-miR-34b-5p",0.802390621848759
"hsa-miR-654-5p",1.65350548774565
"hsa-miR-7704",0.803262793634429
"hsa-miR-217",1.27720518700197
"hsa-miR-337-5p",1.59699763021647
"hsa-miR-410-5p",1.87306101959003
"hsa-miR-7702",0.604042116792008
"hsa-miR-6720-5p",0.439349931332218
"hsa-miR-934",0.213966790897187
"hsa-let-7c-5p",2.07275948984758
"hsa-miR-3687",0.92750585024094
"hsa-miR-935",0.173278667440967
"hsa-miR-223-5p",0.404236159150237
"hsa-miR-432-5p",1.2522780889924
"hsa-miR-224-5p",1.84582584984454
"hsa-miR-431-5p",0.875993514961297
"hsa-miR-1248",0.671158212515915
"hsa-miR-29c-5p",2.06415139598523
"hsa-miR-135b-5p",1.49007800180763
"hsa-miR-95-5p",0.720825311460267
"hsa-miR-519a-3p",0.0945660579240903
"hsa-miR-758-5p",0.867654123416985
"hsa-miR-937-5p",1.53754100143341
"hsa-miR-208b-5p",1.70753418062142
"hsa-miR-381-5p",2.19284950363064
"hsa-miR-411-5p",1.91852602685012
"hsa-miR-4662a-5p",0.024855044730395
"hsa-miR-142-5p",1.04470696651169
"hsa-miR-379-5p",1.68856026847431
"hsa-miR-592",1.12491632890375
"hsa-miR-944",1.4769287665476
"hsa-miR-143-5p",1.33470888368169
"hsa-miR-548f-5p",0.931919183166357
"hsa-miR-134-5p",0.595555708621879
"hsa-miR-3614-5p",0.778720571523406
"hsa-miR-499a-5p",1.96704404123196
"hsa-miR-483-5p",0.732303424614712
"hsa-miR-3651",1.04626712022253
"hsa-miR-3150b-5p",0.392026609390296
"hsa-miR-493-5p",0.498860822673265
"hsa-miR-615-5p",2.10300050674976
"hsa-miR-183-5p",1.44686702804852
"hsa-miR-301a-5p",1.96967565098834
"MYH2",5.18048356104369
"MAGEA4",3.96862011887447
"ACTC1",1.79791784748694
"NRAP",4.59887618127768
"CSRP3",2.72641382050313
"MYBPC1",4.81190183517327
"NTS",1.63447505009951
"MYL2",3.6683396784806
"DES",3.48637534268664
"ACTA1",4.17764183208745
"KRT19",1.42453550804921
"KRT1",0.599052391295859
"ACTN2",3.10220337076993
"MAGEA11",2.68499310428544
"LTF",5.43213599391606
"CKM",3.80252175651153
"PIGR",3.57028347114568
