V1,V2
CREBBP,233
NCOA1,222
NFKB2,211
NCOR1,198
AR,192
NCOA2,187
SMAD5,185
SMAD1,184
SMAD4,183
SMAD3,180
GATA2,179
SMAD2,179
NCOA3,178
JUN,176
RUNX1T1,173
IRF4,170
NFKB1,170
SMAD7,169
ZNF417,169
MEIS1,166
ZBTB43,166
SPI1,164
TBP,164
CREB1,162
SP1,161
CEBPB,159
FLI1,159
ZNF512B,158
ARNT,156
TP53,155
RUNX1,154
NCOR2,151
SMARCA4,151
SOX10,151
NFATC2,146
SRF,145
USF1,145
PBX1,144
RXRA,143
FOS,141
GABPA,140
WT1,139
DRAP1,138
NR5A1,138
RXRB,136
ID2,135
LEF1,131
IRF3,130
IRF8,128
MAFF,128
NR4A1,128
MEF2A,127
ID1,126
RCOR1,126
ERG,124
ESR1,124
RELA,124
TCF3,123
EYA1,121
CEBPE,121
SOX8,121
ARNTL,120
ID3,120
NCOA6,120
REST,116
CEBPG,115
GATA1,113
ETS1,112
HNF1A,112
MAFG,111
PKNOX1,109
ZNF446,109
ATF1,108
IKZF4,108
HMGA1,107
MYC,107
NFYA,107
RXRG,107
FOXA2,106
MEF2C,105
NR1D2,102
TNNT1,101
ZHX1,100
REL,99
PLG,98
CREB3L3,98
E2F1,96
USF2,96
MYB,95
MSX1,94
NFYB,94
TCF4,94
NR2F1,92
PROX1,92
YY1,92
AFF1,91
MECP2,91
PGR,91
PPARG,89
ARID3A,88
POU2F1,88
ZBTB16,88
GABPB1,87
NFKBIA,85
MAFK,84
MXD1,84
RELB,84
TAF1,84
DDIT3,83
GLI3,83
MLLT3,83
SOX5,82
NR0B2,81
FOXG1,79
HOXC8,79
TP73,79
MITF,78
PAX6,78
SMAD9,78
SMARCA2,78
TEX11,76
GATA4,75
EZH2,74
SKI,74
IKZF5,73
NKX2-5,73
JUNB,71
MBD1,71
MSX2,71
MYCN,71
RFX3,71
IKZF1,70
NFIL3,69
ZNF250,69
ETS2,68
FOXH1,67
NR3C1,67
BRCA1,66
SATB1,66
CXCL13,65
ZNF165,65
DACH1,64
NFE2L2,64
THRA,64
BCL6,63
KLF6,63
NR4A3,63
SIX1,63
RFX1,62
TFDP2,62
E2F3,61
SMAD6,61
TWIST1,61
NR1D1,60
SOX6,60
TSC22D1,60
ATRX,59
