Gene,TCGA-CZ-5987,TCGA-BP-4787,TCGA-BP-5000,TCGA-B0-5400,TCGA-BP-5001,TCGA-B8-A7U6,TCGA-B8-A54H,TCGA-CW-5589,TCGA-B8-A54F,TCGA-BP-4789,TCGA-B0-5693,TCGA-MM-A564,TCGA-B0-5691,TCGA-CZ-5457,TCGA-BP-4981,TCGA-BP-4994,TCGA-B0-4811,TCGA-B0-4834,TCGA-CZ-5453,TCGA-A3-A6NL,TCGA-BP-4992,TCGA-B2-5635,TCGA-CW-5590,TCGA-EU-5904,TCGA-CZ-5460,TCGA-CJ-4890,TCGA-CJ-5680,TCGA-CW-6088,TCGA-CJ-5677,TCGA-DV-5569,TCGA-BP-4974,TCGA-B0-5705,TCGA-CZ-5454,TCGA-CZ-5986,TCGA-A3-A8OV,TCGA-A3-A6NJ,TCGA-B8-A54E,TCGA-B8-5553,TCGA-CZ-5470,TCGA-BP-4973,TCGA-B0-5712,TCGA-CW-5587,TCGA-CJ-5686,TCGA-BP-4970,TCGA-CJ-4895,TCGA-B4-5836,TCGA-CJ-4899,TCGA-CW-5585,TCGA-CZ-5451,TCGA-CJ-5671,TCGA-CZ-5988,TCGA-CW-6087,TCGA-B0-5709,TCGA-DV-A4W0,TCGA-B0-4852,TCGA-DV-5566,TCGA-B0-5812,TCGA-BP-4975,TCGA-CW-5591,TCGA-CW-5580,TCGA-CZ-5464,TCGA-A3-A6NI,TCGA-G6-A8L7,TCGA-BP-4960,TCGA-CJ-4870,TCGA-CJ-6032,TCGA-EU-5906,TCGA-B0-4706,TCGA-CJ-5683,TCGA-B0-5402,TCGA-CW-6090,TCGA-CZ-5469,TCGA-B8-A54J,TCGA-B0-4836,TCGA-A3-3317,TCGA-B0-4700,TCGA-CW-5581,TCGA-BP-4998,TCGA-B0-5706,TCGA-MM-A84U,TCGA-BP-4989,TCGA-B0-5696,TCGA-B8-A54G,TCGA-CJ-6030,TCGA-DV-5576,TCGA-CJ-5676,TCGA-CZ-4854,TCGA-DV-5574,TCGA-CJ-5682,TCGA-CJ-4876,TCGA-A3-3358,TCGA-B4-5377,TCGA-BP-4959,TCGA-CZ-5456,TCGA-B0-5707,TCGA-CZ-5458,TCGA-G6-A8L8,TCGA-B0-5697,TCGA-CZ-5468,TCGA-B0-4698,TCGA-CZ-5985,TCGA-EU-5905,TCGA-B0-4815,TCGA-CW-5588,TCGA-BP-4968,TCGA-CW-6097,TCGA-MM-A563,TCGA-BP-4807,TCGA-BP-4770,TCGA-BP-4759,TCGA-BP-4967,TCGA-A3-A8CQ,TCGA-CZ-5452,TCGA-B0-5702,TCGA-G6-A5PC,TCGA-BP-4797,TCGA-CZ-5989,TCGA-CJ-5675,TCGA-EU-5907,TCGA-B0-4816,TCGA-AK-3458,TCGA-CZ-5467,TCGA-CZ-4858,TCGA-CZ-5984,TCGA-CW-6093,TCGA-BP-5007,TCGA-CZ-4866,TCGA-B2-5636,TCGA-BP-4761,TCGA-CZ-5455,TCGA-CJ-6033,TCGA-A3-A8OW,TCGA-DV-A4VX,TCGA-CJ-4900,TCGA-B0-5694,TCGA-B0-4833,TCGA-B0-4712,TCGA-CJ-4887,TCGA-B2-5633,TCGA-DV-A4VZ,TCGA-CJ-4889,TCGA-B0-5399,TCGA-BP-4969,TCGA-B8-5546,TCGA-B0-4710,TCGA-B0-5713,TCGA-B0-5075,TCGA-B8-4621,TCGA-B4-5844,TCGA-CZ-5466,TCGA-CZ-5462,TCGA-B0-5711,TCGA-CZ-5465,TCGA-B2-5641,TCGA-BP-4985,TCGA-BP-4804,TCGA-B4-5832,TCGA-3Z-A93Z,TCGA-B0-5701,TCGA-MW-A4EC,TCGA-CJ-5672,TCGA-BP-4971,TCGA-B2-5639,TCGA-B0-5692,TCGA-CZ-5463,TCGA-B0-5695,TCGA-CJ-5679,TCGA-B8-5551,TCGA-CZ-5461,TCGA-B0-5700,TCGA-B0-5084,TCGA-B0-4818,TCGA-CJ-4881,TCGA-B4-5835,TCGA-DV-5575,TCGA-BP-4173,TCGA-CJ-4875,TCGA-B4-5378,TCGA-B8-4146,TCGA-CJ-4891,TCGA-B8-A54I,TCGA-CZ-5982,TCGA-CW-5584,TCGA-B8-A8YJ,TCGA-CJ-6028,TCGA-CJ-6031,TCGA-B0-4837,TCGA-CJ-5681,TCGA-B0-5699,TCGA-A3-3387,TCGA-B8-5545,TCGA-CJ-5678,TCGA-CJ-5684,TCGA-CZ-4860,TCGA-B0-5703,TCGA-B4-5834,TCGA-BP-4965,TCGA-A3-A6NN,TCGA-B0-5088,TCGA-B0-4821,TCGA-GK-A6C7,TCGA-A3-A8OU,TCGA-B0-5085,TCGA-BP-4982,TCGA-BP-4771,TCGA-DV-5567,TCGA-CJ-5689,TCGA-B8-5550,TCGA-6D-AA2E,TCGA-B4-5838,TCGA-BP-4340,TCGA-CZ-4864,TCGA-CZ-5459,TCGA-CJ-4888,TCGA-CZ-4863,TCGA-BP-4790,TCGA-T7-A92I,TCGA-B0-5690,TCGA-G6-A8L6,TCGA-BP-4961,TCGA-BP-5008,TCGA-CW-5583,TCGA-B0-5710,TCGA-B8-A54D,TCGA-CZ-4857,TCGA-B8-5549,TCGA-B4-5843,TCGA-B2-A4SR,TCGA-B0-5698,TCGA-CJ-6027,TCGA-BP-4977,TCGA-B8-5552,TCGA-CJ-4635,TCGA-BP-4987,TCGA-DV-5565,TCGA-B8-4153,TCGA-B0-5080,TCGA-B0-4810,TCGA-CJ-4878,TCGA-A3-A8OX
hsa-miR-1269a,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
hsa-miR-1269b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
hsa-miR-375,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
hsa-miR-599,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
hsa-miR-31-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-9-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-675-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-891a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-204-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
