V1,V2
CREBBP,382
IRF4,337
SMAD3,326
TNNT1,315
MEIS1,308
NFKB1,308
JUN,307
NFKB2,306
SPI1,305
NCOA1,302
SOX10,301
HNF1A,298
SRF,294
SMAD7,291
NCOR1,290
TBP,289
ARNT,275
IRF8,273
TP53,272
SMAD5,271
AR,265
FOS,264
ID2,262
NCOR2,262
RUNX1T1,258
SOX8,258
SP1,258
TCF3,254
ZBTB16,252
SMAD9,251
FLI1,247
RXRA,247
CREB1,245
NCOA2,240
SMAD1,240
CEBPG,238
SMAD2,238
ZNF512B,235
NR5A1,233
MYC,232
E2F1,226
ID1,226
GATA2,225
WT1,225
NR0B2,222
NFATC2,220
NCOA3,218
NFYA,218
GATA1,217
NCOA6,217
PBX1,217
HMGA1,210
ZNF446,210
RXRB,208
ID3,206
MAFG,206
PKNOX1,206
MITF,205
RUNX1,203
RXRG,203
ETS1,201
MAFF,199
SMARCA4,198
SMAD4,197
ZBTB43,197
GABPB1,196
PGR,196
ZNF417,196
CEBPB,195
ESR1,194
MEF2A,194
LEF1,192
PAX6,191
NR1D2,190
NFYB,187
DRAP1,184
E2F2,183
MEF2C,182
ZHX1,181
NR4A1,180
PROX1,178
ARNTL,176
RELB,174
RELA,172
CEBPE,171
GABPA,168
TCF4,166
CREB3L3,165
NR1H3,165
SOX5,163
E2F3,162
YY1,162
ARID3A,161
TAF1,161
TSC22D1,160
IRF3,158
TTR,157
HOXC8,156
GATA4,155
RCOR1,155
ZNF165,155
ATF1,152
REL,152
POU2F1,151
HAND2,150
BRCA1,147
ERG,147
NR2F1,146
ZNF250,146
MYB,145
MAFK,143
RFX3,142
MSX2,141
NR4A3,141
RFX1,141
DACH1,140
EZH2,140
NFIL3,140
LRP2,137
SKIL,130
NR1H2,129
SIX1,128
USF1,128
GLI3,127
AFF1,126
SP3,125
JUNB,124
GFI1B,123
SMAD6,123
SOX6,122
DDIT3,121
FOXA2,121
HEYL,121
REST,121
SKI,121
FOXO1,120
YBX1,119
MLLT3,118
MECP2,117
SMARCB1,117
NR3C1,116
POU5F1,116
SMARCA2,116
THRA,115
MXD1,113
TFDP2,113
MYCN,112
NFIC,112
SATB1,112
NR1D1,110
IKZF4,106
BCL6,105
SIX3,105
NEUROD1,104
NFE2L2,103
ATRX,102
RARA,102
TFDP1,102
FOXG1,100
TP73,99
TWIST1,97
NR0B1,96
KLF6,94
PAX3,92
ESRRG,91
ZNF8,91
HEY2,90
TFPI2,89
DNMT3B,89
SMARCE1,88
ZBTB17,88
HAND1,87
MSX1,87
ASCL1,86
KLF1,84
PPARG,84
TLX1,84
MAF,83
FOXH1,82
TTF2,81
SMARCC1,80
SREBF1,78
TP63,77
ETS2,76
HNF4A,76
IRF5,76
RFX2,76
STAT2,76
BMP2,75
TCF12,75
USF2,74
CEBPA,72
TFE3,72
ATF4,71
CBFB,71
ELK1,70
HIF1A,70
JUND,68
PDX1,68
VDR,68
NKX2-5,67
MLLT1,62
PTPRT,61
SP100,60
CEBPD,59
IRF1,58
ATF3,57
AHR,56
IKZF5,56
MBD3,56
TEAD1,56
MTA2,55
PAX5,55
ZEB1,55
ZFHX3,55
ATF2,54
PBX2,54
MEF2D,53
MEOX2,53
PCBP1,53
FGA,52
UBTF,52
ZXDC,52
PITX1,51
POU3F4,51
PRDM1,51
E2F4,49
HSF1,49
NFE2,49
NFE2L1,49
ZFPM2,48
NR2F2,47
NRF1,47
RUNX2,47
CRX,46
PRRX1,46
THRB,46
SFPQ,45
CDX2,44
IRF2,42
NR2C2,42
CIC,41
CREB3,41
IKZF1,41
SPIB,41
BATF3,40
CREB3L1,40
ZFPM1,40
FOXA1,39
GATA3,39
HOXA9,38
RARB,38
TNNI3,37
ATF6,37
NFKBIB,37
HEY1,36
MYF6,36
NFYC,36
RFX4,36
YEATS4,36
CTCF,35
STAT5B,35
FOXO3,34
MLLT6,34
EGR1,33
HLF,32
HOXA13,32
RARG,32
JDP2,31
MEOX1,31
POU3F2,31
PURB,31
ELF4,30
PAWR,30
SOX9,30
ALB,29
MBD1,29
PITX2,29
DLX5,27
ELF1,27
ISL1,27
MYOG,27
PBX3,27
STAT1,27
ZNF24,27
COL2A1,26
MSC,26
ZBTB32,26
GLI2,25
HHEX,25
MYOD1,25
BATF,24
NFIX,24
MYBL2,23
NFKBIE,23
SMARCC2,23
EPAS1,22
ETV6,22
FOXP3,22
OTX2,22
TFAP2A,22
THAP1,22
FOXP1,21
NKX2-1,21
PARP1,21
RORA,21
ZHX2,21
PCBP2,20
POU1F1,20
TAL1,20
EGR2,19
ESR2,19
HOXA5,19
MAZ,19
NR5A2,19
SP4,19
BHLHE40,18
MATR3,18
RFXANK,18
RORB,18
ZHX3,17
ALX1,16
CLOCK,16
CREM,16
HOXB1,16
IKZF3,16
KCNIP3,16
SREBF2,16
ARNT2,15
DNMT3A,14
MAX,14
POU3F3,14
ZEB2,14
EN1,13
GFI1,13
NR2F6,13
RFX5,13
RFXAP,13
E2F6,12
GMEB1,12
HOXD10,12
HOXD9,12
NR1H4,12
POU2F2,12
SOX4,12
SSRP1,12
ATF5,11
BACH1,11
BCL3,11
LHX3,11
LYAR,11
NKX3-1,11
SMARCD1,11
XBP1,11
ZNF205,11
ZNF496,11
TRIM29,10
EBF1,9
ELF3,9
GATA6,9
NKRF,9
RBPJ,9
TRERF1,9
DBP,8
ELK3,8
GATAD2B,8
NR3C2,8
RUNX3,8
SIM2,8
STAT3,8
STAT4,8
TERF1,8
ARID1A,7
ARID2,7
HBP1,7
JARID2,7
KAT5,7
NPAS4,7
OLIG2,7
PATZ1,7
PHOX2A,7
TCF20,7
TFAP2B,7
TGIF1,7
TTF1,7
ZNF184,7
E2F5,6
GSC,6
HOXA1,6
HOXB7,6
IFI16,6
PHB,6
PPARA,6
TSC22D4,6
ZNF76,6
CEBPZ,5
HNF4G,5
PHB2,5
ZNF467,5
FOSL2,4
FOXO4,4
GATAD2A,4
HMGXB4,4
KLF5,4
MNT,4
MYF5,4
PAX2,4
RFX6,4
STAT5A,4
STAT6,4
ZBTB7A,4
ZNF598,4
APOH,3
ARID1B,3
ATXN7,3
GTF2I,3
HES1,3
HOXA10,3
HOXD4,3
MXI1,3
NFATC1,3
PCGF6,3
PPARD,3
SIX5,3
SNAPC4,3
SOX2,3
SP110,3
TEAD3,3
TFAP2C,3
WIZ,3
ZNF579,3
AFF4,2
ESRRA,2
ETV1,2
HIVEP1,2
HMGA2,2
KIAA1549,2
KLF11,2
KLF13,2
KLF4,2
MLXIP,2
MXD4,2
NEUROG1,2
NONO,2
ONECUT1,2
TCF7L2,2
ZBTB44,2
ZNF622,2
CTNND2,1
DKK1,1
CENPT,1
E4F1,1
FOXD3,1
FOXM1,1
HOXC4,1
LYL1,1
MLXIPL,1
MTF2,1
NCOA5,1
NPAS2,1
PBRM1,1
SNAI1,1
SPDEF,1
TFAM,1
ZBTB33,1
ZNF423,1
ZNF639,1
