"","x"
"hsa-miR-1269a",2.33337732737164
"hsa-miR-105-5p",1.43898842073872
"hsa-miR-767-5p",1.1007564410005
"hsa-miR-205-5p",1.43314935571256
"hsa-miR-196a-5p",2.42992590493378
"hsa-miR-552-5p",0.423316512712987
"hsa-miR-196b-5p",1.81926206597381
"hsa-miR-1269b",1.0618324621124
"hsa-miR-31-5p",2.52656383199307
"hsa-miR-675-5p",0.412252960911176
"hsa-miR-508-5p",0.177191720306383
"hsa-miR-34c-5p",1.12521154470795
"hsa-miR-34b-5p",0.824626267597087
"hsa-miR-187-5p",1.02437769507837
"hsa-miR-215-5p",0.899946590073818
"hsa-miR-192-5p",1.85781908940539
"hsa-miR-372-5p",0.00950051409484676
"hsa-miR-9-5p",3.54293252873941
"hsa-miR-891a-5p",0.56836904142971
"hsa-miR-194-5p",1.39313247928326
"hsa-miR-449a",1.16121369779663
"hsa-miR-509-3-5p",0.126056240434169
"hsa-miR-375",0.674090585043388
"hsa-miR-514a-5p",0.123206919061267
"hsa-miR-4788",0.618959691900761
"hsa-miR-577",2.53430837152848
"hsa-miR-203b-5p",2.02017410377305
"hsa-miR-509-5p",0.228525093738514
"hsa-miR-20b-5p",1.55739478204798
"hsa-miR-210-5p",4.88440095772152
"hsa-miR-323b-5p",1.02836582999355
"hsa-miR-1247-5p",3.25951419793401
"hsa-miR-184",2.98676547000943
"hsa-miR-224-5p",1.79932530510758
"hsa-miR-3607-5p",2.22969449017693
"hsa-miR-934",0.116518632436347
"hsa-miR-519a-5p",0.476229741771013
"hsa-miR-203a-3p",1.00273291392072
"hsa-miR-431-5p",0.0149011992843611
"hsa-miR-451a",1.77111967055034
"hsa-miR-3065-5p",0.348800632979888
"hsa-miR-338-5p",0.436848426855459
"hsa-miR-149-5p",0.0737327743403506
"hsa-miR-153-5p",3.42392657088617
"hsa-miR-4652-5p",1.21369187423308
"hsa-miR-653-5p",2.01396417487436
"hsa-miR-323a-5p",0.422130704098159
"hsa-miR-483-5p",0.930650175716351
"hsa-miR-10b-5p",0.104219502405018
"hsa-miR-410-5p",0.116126996155478
"hsa-miR-5698",0.872391614477161
"hsa-miR-4326",0.602016510622673
"hsa-miR-137",1.2735067623313
"hsa-miR-135b-5p",3.44983789635937
"hsa-miR-144-5p",1.57196271981221
"hsa-miR-485-5p",0.447266072805018
"hsa-miR-944",0.712293490078392
"hsa-miR-134-5p",0.220115738539612
"hsa-miR-412-5p",0.547583402271305
"hsa-miR-551b-5p",0.910921586410794
"hsa-miR-889-5p",1.24661565070756
"hsa-miR-6510-5p",0.741033204316511
"hsa-miR-1911-5p",0.367911661845693
"hsa-miR-363-5p",0.28387310547508
"hsa-miR-539-5p",1.44014837721215
"hsa-miR-758-5p",0.231163249819552
"hsa-miR-6087",0.459667366079873
"hsa-miR-409-5p",0.794471773224835
"hsa-miR-582-5p",1.43469748614521
"hsa-miR-615-5p",0.274118346282152
"hsa-miR-129-5p",0.21256100185591
"hsa-miR-217",2.28582526748624
"hsa-miR-937-5p",0.858969032659554
