V1,V2
CREBBP,248
NFKB2,247
SPI1,246
TP53,243
SMAD3,239
JUN,237
IRF4,234
NCOA1,230
PAX6,229
SMAD7,228
SRF,228
SMAD1,226
SP1,226
TBP,220
CDKN2A,216
ID2,213
NFKB1,213
MEIS1,212
NCOR2,209
NFATC2,209
NCOR1,208
SMAD5,205
TCF3,204
FOS,201
NCOA2,198
SMAD2,198
IRF8,197
ZBTB16,197
GATA2,196
SOX10,195
AR,193
ARNT,193
RXRA,192
MITF,187
ETS1,185
MAFG,184
WT1,184
E2F1,183
ESR1,180
GATA4,180
MYC,179
RUNX1T1,179
SMARCA4,177
ZNF446,174
PBX1,173
CEBPG,172
CREB1,169
SOX8,169
CEBPB,167
GATA1,167
ID1,167
RUNX1,165
ID3,164
ZHX1,164
ZNF512B,163
FLI1,162
NFYB,160
NR5A1,158
LEF1,156
NR0B2,156
RXRB,156
CREB3L3,154
FOXA2,154
NFYA,154
NCOA3,153
PGR,152
RXRG,147
PKNOX1,146
TSC22D1,145
HAND2,144
MAFF,144
ARNTL,140
SOX5,140
RPS6KA6,139
HMGA1,139
MEF2C,139
NCOA6,139
SIX3,139
DRAP1,137
RELA,137
GABPB1,136
PROX1,136
MSX2,133
SMAD4,131
LMO3,130
ARID3A,128
IRF3,126
NR2F1,125
ZNF165,125
NKX2-5,123
AFF1,122
RELB,119
ZNF250,119
ZBTB43,118
CEBPE,117
NR4A3,117
NR1H3,115
POU2F1,115
HNF1A,114
NR1D2,113
SOX6,113
NFE2L2,112
GLI3,111
MLLT3,111
FOXO1,110
TAF1,110
E2F2,109
RFX1,109
RFX3,109
MYB,108
ZNF8,107
IKZF4,106
RCOR1,106
MEF2A,104
SMAD6,104
YY1,104
SMAD9,102
ZNF417,102
NR4A1,101
GABPA,100
HOXC8,100
SMARCB1,99
DDIT3,98
EZH2,98
NR1H2,97
MXD1,96
NFIC,96
MAFK,95
MECP2,95
MYCN,94
DACH1,93
ERG,93
REL,93
CHGB,92
USF1,91
PAX3,90
MYOD1,89
NFIL3,88
POU5F1,88
ASCL1,87
SIX1,87
TFDP2,87
NR0B1,84
BCL6,83
ESRRG,83
IRF1,83
NR3C1,82
NR2F6,81
REST,80
E2F3,79
KLF1,78
ATRX,77
VDR,77
HEYL,76
RUNX2,76
YBX1,76
MAZ,74
SP3,74
SMARCA2,73
THRA,73
BRCA1,72
MAF,72
SATB1,72
FOXG1,71
RARA,71
SREBF1,71
ETS2,69
JUNB,69
ZBTB17,69
FOXH1,68
SMARCE1,68
TP73,68
ATF1,66
BMP2,64
HIF1A,64
ZFHX3,64
JUND,63
MSX1,63
TFDP1,63
TLX1,63
TCF4,62
USF2,62
HAND1,61
PPARG,61
NECAB2,60
ZEB1,60
CEBPA,59
NR1D1,59
POU3F4,59
STAT2,59
HNF4A,58
MTA2,58
MEOX2,57
UBTF,57
GFI1B,55
HEY2,55
MLLT1,55
NR2F2,55
SMARCC1,55
SFPQ,53
SPIB,53
TTF2,53
AHR,52
RORA,52
TWIST1,51
DNMT3B,49
NR2C2,49
SKI,49
TFE3,49
ATF2,48
MBD3,48
SP100,48
RFX2,47
PDX1,46
TCF12,46
POU3F2,44
GATA3,43
NEUROD1,43
NFIX,43
PAX5,43
CEBPD,42
E2F4,42
NFE2,42
NFYC,42
HSF1,41
PBX2,41
ZFPM1,41
GLI2,40
ISL1,40
COL2A1,39
CBFB,39
ELK1,39
POU3F3,39
PRRX1,39
CRX,38
IKZF5,38
NRF1,37
ZFPM2,37
ATF3,36
MEF2D,36
TEAD1,36
FOXO3,35
NFE2L1,35
PCBP1,35
STAT3,35
ZXDC,34
NFKBIE,33
THRB,33
TP63,33
HOXA9,32
PITX1,32
PITX2,31
RFX4,31
ARID2,30
CREB3,30
IKZF1,30
IRF5,30
MEOX1,30
BATF3,29
YEATS4,29
ATF4,28
ETV6,28
CREB3L1,27
DNMT3A,27
HHEX,27
SOX9,27
CDC5L,26
MSC,26
CTCF,25
IRF2,25
NFKBIB,25
OTX2,25
RARG,25
ELF1,24
HEY1,24
PURB,24
SMARCC2,24
CDX2,23
HLF,23
HOXA13,23
JDP2,23
MLLT6,23
CIC,22
FOXA1,22
FOXP3,21
HOXB1,21
PARP1,21
TAL1,21
MYBL2,20
STAT5B,20
ZNF24,20
ATF6,19
BHLHE40,19
EGR2,19
ELF4,19
EPAS1,19
PCBP2,19
PRDM1,19
TFAP2A,19
E2F6,18
GFI1,18
KCNIP3,18
MBD1,18
MYF6,18
HOXA5,17
NR5A2,17
PBX3,17
ZHX3,17
EGR1,16
MYOG,16
ZHX2,16
ZNF205,16
BATF,15
DLX5,15
POU1F1,15
RORB,15
ZBTB32,15
E4F1,14
MATR3,14
PAWR,14
RARB,14
RFXANK,14
ZNF496,14
CREM,13
EN1,13
NKX2-1,13
RFXAP,13
ARID1A,12
MAX,12
RBPJ,12
ARNT2,11
FOXP1,11
HOXD9,11
CLOCK,10
ESR2,10
OLIG2,10
SOX2,10
SREBF2,10
ARID1B,9
GATA6,9
HOXA1,9
HOXD10,9
JARID2,9
NKX3-1,9
NPAS4,9
POU2F2,9
TCF20,9
BCL3,8
EBF1,8
IKZF3,8
MLLT4,8
SMARCD1,8
SP4,8
STAT1,8
TERF1,8
TSC22D4,8
ZNF184,8
EPHA7,7
ELF3,7
GMEB1,7
TFAP2B,7
TRERF1,7
AFF4,6
DNMT1,6
HOXA10,6
MLXIP,6
MYF5,6
NKRF,6
NR1H4,6
PHB2,6
PHOX2A,6
STAT4,6
THAP1,6
ZBTB7A,6
ATF5,5
BACH1,5
CEBPZ,5
ELK3,5
FOSL2,5
FOXO4,5
GATAD2B,5
GTF2I,5
HBP1,5
HNF4G,5
HOXD4,5
KIAA1549,5
SSRP1,5
TGIF1,5
WIZ,5
XBP1,5
ZEB2,5
ZNF467,5
AKR1C3,4
DBP,4
E2F5,4
HES1,4
HOXB7,4
HOXC4,4
PPARD,4
RFX5,4
SKIL,4
TCF7L2,4
ZBTB44,4
ZNF227,4
ZNF579,4
ZNF76,4
ALX1,3
GATAD2A,3
HIVEP1,3
HOXD13,3
KLF11,3
KLF5,3
KLF6,3
LHX3,3
MNT,3
NONO,3
NPAS2,3
PBRM1,3
PHB,3
SIM2,3
SOX4,3
SPDEF,3
ZNF202,3
ZNF598,3
CCNA1,2
DCC,2
ASH1L,2
CENPT,2
IFI16,2
KAT5,2
MXI1,2
NCOA5,2
NFATC1,2
NFKBIA,2
PATZ1,2
PPARA,2
SIX5,2
SP110,2
STAT6,2
TFAP2C,2
ZNF423,2
FBN2,1
ATXN7,1
ESRRA,1
ETV1,1
FOXD3,1
HMGA2,1
HOXB6,1
KLF13,1
KLF4,1
LYAR,1
MGA,1
MTF2,1
MXD4,1
NEUROG1,1
NR3C2,1
ONECUT1,1
RFX6,1
RUNX3,1
SNAPC4,1
SP2,1
STAT5A,1
TTF1,1
ZBTB33,1
ZNF384,1
ZNF580,1
ZNF622,1
