Gene,TCGA-22-5492,TCGA-NC-A5HO,TCGA-O2-A52S,TCGA-34-5929,TCGA-98-8022,TCGA-85-8354,TCGA-37-A5EN,TCGA-85-7710,TCGA-34-5927,TCGA-68-8251,TCGA-43-6143,TCGA-94-7943,TCGA-33-AASD,TCGA-77-7139,TCGA-63-A5MP,TCGA-92-7341,TCGA-85-6561,TCGA-56-A49D,TCGA-22-A5C4,TCGA-77-A5G1,TCGA-85-A4PA,TCGA-63-A5MN,TCGA-56-8307,TCGA-22-5483,TCGA-34-8455,TCGA-LA-A7SW,TCGA-39-5024,TCGA-63-A5MH,TCGA-90-7769,TCGA-85-A4QQ,TCGA-43-A475,TCGA-21-5783,TCGA-85-A4QR,TCGA-98-8020,TCGA-21-5782,TCGA-85-8048,TCGA-85-A4JC,TCGA-77-8007,TCGA-98-A53J,TCGA-52-7809,TCGA-58-A46L,TCGA-NC-A5HM,TCGA-58-8387,TCGA-58-8388,TCGA-90-7964,TCGA-85-A50M,TCGA-94-8490,TCGA-63-7020,TCGA-56-7222,TCGA-NK-A5CT,TCGA-77-8008,TCGA-85-8287,TCGA-NK-A5CR,TCGA-85-6175,TCGA-22-5489,TCGA-34-8456,TCGA-85-8052,TCGA-60-2704,TCGA-43-6770,TCGA-O2-A52N,TCGA-92-7340,TCGA-34-5232,TCGA-56-6546,TCGA-22-5473,TCGA-43-6771,TCGA-43-7656,TCGA-77-7138,TCGA-85-A50Z,TCGA-43-A56V,TCGA-63-A5MM,TCGA-21-5784,TCGA-56-8305,TCGA-56-7223,TCGA-85-7697,TCGA-77-8143,TCGA-O2-A52W,TCGA-22-4593,TCGA-94-7557,TCGA-98-A53H,TCGA-22-5474,TCGA-77-8148,TCGA-56-8503,TCGA-63-A5MY,TCGA-63-A5MW,TCGA-96-7545,TCGA-58-A46M,TCGA-63-A5MT,TCGA-34-5239,TCGA-77-A5G7,TCGA-63-A5MU,TCGA-77-8145,TCGA-NC-A5HJ,TCGA-43-A474,TCGA-56-A5DR,TCGA-33-4587,TCGA-52-7811,TCGA-90-6837,TCGA-96-A4JL,TCGA-J1-A4AH,TCGA-85-A513,TCGA-77-8140,TCGA-43-5668,TCGA-NK-A5CX,TCGA-96-8169,TCGA-NK-A7XE,TCGA-77-7335,TCGA-63-7021,TCGA-98-A539,TCGA-85-A511,TCGA-52-7812,TCGA-56-7221,TCGA-85-8070,TCGA-98-A53I,TCGA-85-8276,TCGA-77-6844,TCGA-34-5236,TCGA-77-7142,TCGA-LA-A446,TCGA-63-7022,TCGA-94-8491,TCGA-34-7107,TCGA-34-5928,TCGA-56-8504,TCGA-43-6647,TCGA-22-5482,TCGA-77-8136,TCGA-85-A4CN,TCGA-60-2703,TCGA-56-A4BW,TCGA-56-8308,TCGA-NC-A5HF,TCGA-MF-A522,TCGA-77-8156,TCGA-L3-A524,TCGA-56-7582,TCGA-85-8072,TCGA-56-8623,TCGA-56-A4BY,TCGA-37-A5EM,TCGA-37-3783,TCGA-O2-A5IB,TCGA-56-8083,TCGA-63-A5MG,TCGA-68-7755,TCGA-77-6843,TCGA-77-8146,TCGA-56-7731,TCGA-98-8023,TCGA-79-5596,TCGA-22-5485,TCGA-22-5480,TCGA-85-8481,TCGA-33-AASJ,TCGA-94-A4VJ,TCGA-85-A4JB,TCGA-NC-A5HP,TCGA-85-8584,TCGA-85-A510,TCGA-34-8454,TCGA-85-7950,TCGA-85-8666,TCGA-63-A5MS,TCGA-92-8065,TCGA-63-A5MJ,TCGA-68-7756,TCGA-34-5231,TCGA-56-8309,TCGA-77-A5G8,TCGA-56-8629,TCGA-56-8628,TCGA-56-7823,TCGA-O2-A52Q,TCGA-96-8170,TCGA-56-8304,TCGA-90-A4ED,TCGA-58-8391,TCGA-56-A4ZK,TCGA-77-7140,TCGA-85-8479,TCGA-NC-A5HL,TCGA-98-A53D,TCGA-22-5471,TCGA-68-8250,TCGA-90-A59Q,TCGA-85-8664,TCGA-92-8063,TCGA-6A-AB49,TCGA-37-A5EL,TCGA-18-5592,TCGA-98-A53B,TCGA-39-5040,TCGA-22-5491,TCGA-60-2697,TCGA-85-8071,TCGA-90-7766,TCGA-43-8116,TCGA-77-8133,TCGA-98-A538,TCGA-77-7338,TCGA-56-6545,TCGA-96-7544,TCGA-85-A53L,TCGA-70-6722,TCGA-34-A5IX,TCGA-22-5479,TCGA-77-8153,TCGA-77-A5G6,TCGA-22-5481,TCGA-NC-A5HN,TCGA-21-5787,TCGA-21-5786,TCGA-85-8352,TCGA-56-A4BX,TCGA-85-7699,TCGA-94-A5I4,TCGA-46-6026,TCGA-77-8154,TCGA-85-8355,TCGA-43-5670,TCGA-77-A5GF,TCGA-43-A56U,TCGA-94-8035,TCGA-77-8131,TCGA-77-A5GB,TCGA-33-6738,TCGA-85-6798,TCGA-68-A59J,TCGA-22-4609,TCGA-22-5472,TCGA-58-A46K,TCGA-NC-A5HE,TCGA-XC-AA0X,TCGA-56-7822,TCGA-85-7843,TCGA-85-A4CL,TCGA-43-8118,TCGA-58-8390,TCGA-85-8351,TCGA-77-8144,TCGA-77-8150,TCGA-56-8201,TCGA-85-A5B5,TCGA-77-A5GH,TCGA-56-8625,TCGA-51-6867,TCGA-68-7757,TCGA-63-A5MR,TCGA-77-A5G3,TCGA-39-5019,TCGA-98-A53C,TCGA-85-7844,TCGA-NC-A5HG,TCGA-52-7810,TCGA-63-A5ML,TCGA-63-A5MB,TCGA-63-A5MI,TCGA-NC-A5HQ,TCGA-33-A4WN,TCGA-33-A5GW,TCGA-94-7033,TCGA-43-7658,TCGA-58-8392,TCGA-NC-A5HR,TCGA-98-7454,TCGA-56-7580,TCGA-NC-A5HK,TCGA-56-8082,TCGA-22-4605,TCGA-77-6845,TCGA-77-7463,TCGA-90-A4EE,TCGA-77-7337,TCGA-68-A59I,TCGA-85-A512,TCGA-56-8626,TCGA-NC-A5HD,TCGA-34-5234,TCGA-37-5819,TCGA-L3-A4E7,TCGA-43-8115,TCGA-56-8622,TCGA-33-AASB,TCGA-98-A53A,TCGA-43-6773,TCGA-58-8386,TCGA-58-8393,TCGA-90-7767,TCGA-22-5478,TCGA-77-8130,TCGA-85-8582,TCGA-63-A5MV,TCGA-33-AAS8,TCGA-85-7698,TCGA-77-7141,TCGA-33-AASL,TCGA-98-8021,TCGA-NC-A5HT,TCGA-70-6723,TCGA-56-5898,TCGA-85-8049,TCGA-NC-A5HI,TCGA-77-6842,TCGA-77-8009,TCGA-33-AASI,TCGA-77-A5FZ,TCGA-46-6025,TCGA-85-6560,TCGA-85-7696,TCGA-52-7622,TCGA-92-8064,TCGA-60-2709,TCGA-56-7730,TCGA-63-6202,TCGA-O2-A52V,TCGA-22-5477,TCGA-58-A46N,TCGA-39-5027,TCGA-63-A5M9,TCGA-77-8139,TCGA-56-7579,TCGA-NC-A5HH,TCGA-56-A4ZJ,TCGA-39-5022,TCGA-85-8288,TCGA-77-8128,TCGA-85-8350,TCGA-43-7657,TCGA-85-8580,TCGA-85-8353,TCGA-56-8624,TCGA-77-8138,TCGA-56-A62T,TCGA-56-5897,TCGA-77-7465,TCGA-58-A46J,TCGA-94-A5I6
hsa-miR-1269b,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
hsa-miR-1269a,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-767-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-891a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-675-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-204-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-31-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-508-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6510-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
