V1,V2
CREBBP,674
NFKB2,609
IRF4,606
SMAD1,597
NCOA1,595
SP1,587
JUN,572
SMAD5,565
RUNX1T1,558
SOX10,548
NCOR1,540
SOX8,529
TNNT1,523
NCOA2,523
SPI1,519
SMAD3,508
SRF,508
AR,504
ARNT,503
IRF8,497
ZNF417,497
CREB1,490
ZBTB43,490
NFKB1,485
MEIS1,479
TP53,471
SMAD2,457
TBP,456
SMAD7,455
GATA2,449
NCOR2,447
ESR1,440
RCOR1,440
SMAD9,438
TCF3,437
FOS,431
KRT15,417
PROX1,417
SMARCA4,409
RXRA,407
ID2,405
DRAP1,403
GATA1,402
ZNF512B,392
CEBPG,387
GABPA,386
MYC,386
IKZF4,384
ID1,383
PKNOX1,380
NFATC2,379
PBX1,379
WT1,378
REL,377
FLI1,376
NCOA3,376
REST,374
MAFG,371
ZNF446,368
NCOA6,366
PGR,366
ID3,363
CEBPE,362
ETS1,362
CEBPB,357
ARNTL,356
MAFF,349
RUNX1,340
CREB3L3,339
HMGA1,339
E2F1,336
NFYB,336
NR5A1,334
RXRB,330
RELB,329
GATA4,328
IRF3,321
ZHX1,321
HAND2,320
NFYA,320
SMAD4,316
LEF1,312
RXRG,307
YY1,307
SIX1,305
NR1H3,304
MEF2C,298
PAX6,297
RELA,296
AFF1,295
ERG,295
GABPB1,294
MAFK,294
TAF1,294
ARID3A,292
MYB,289
MLLT3,287
POU2F1,282
NR1D2,280
SP3,277
MEF2A,276
HNF1A,275
E2F3,272
PAX3,272
TSC22D1,272
ZBTB16,271
USF1,268
SMARCA2,265
SOX5,265
NR1H2,261
RFX3,254
RFX1,253
CXCL13,248
NR4A1,246
ATF1,243
YBX1,243
NR2F1,241
NR3C1,241
BRCA1,239
ZNF165,237
MECP2,234
NKX2-5,234
SIX3,234
TCF4,231
SMAD6,230
NFIC,228
STAT5A,226
TP73,226
MXD1,225
NFIL3,224
SOX6,223
ZNF250,223
IKZF5,220
EZH2,219
JUNB,216
DACH1,215
NR4A3,215
IRF1,210
NR0B2,210
MITF,207
BMP2,202
DDIT3,202
TFDP1,202
SMARCB1,201
TFDP2,201
FOXO1,195
MYCN,194
PPARG,190
E2F2,186
MSX2,185
NFE2L2,185
ATRX,182
TLX1,180
FOXH1,179
USF2,173
ASCL1,164
GLI3,164
POU5F1,164
RARA,164
TEAD1,164
SATB1,163
ZBTB17,158
HEYL,150
RFX2,149
SKI,145
KLF1,144
SMARCC1,144
THRA,141
DNMT3B,136
NR1D1,136
CEBPA,133
TWIST1,133
BCL6,131
TTF2,131
ESRRG,130
MSX1,130
CHGB,127
FOXA2,127
SREBF1,126
ETS2,125
SMARCE1,123
ZNF8,121
AHR,120
MAF,117
CBFB,115
TFE3,114
VDR,110
BATF3,108
TP63,108
IKZF1,107
TCF12,103
GATA3,101
ZFHX3,101
ZFPM1,101
HOXC8,100
NR2F2,100
NRF1,100
ALB,99
FOXG1,99
MLLT1,99
PCBP1,99
STAT2,99
MBD1,98
SFPQ,97
IRF5,96
MTA2,96
PAX5,94
ATF4,93
MBD3,92
ATF2,91
SP100,91
ZEB1,91
CIC,89
HEY2,88
HSF1,88
YEATS4,88
CRX,87
HAND1,87
NFYC,87
STAT5B,85
MEF2D,83
UBTF,83
E2F4,81
NR0B1,81
ZXDC,80
ELK1,79
NFIX,79
SPIB,79
NFE2L1,77
HNF4A,76
MEOX2,76
PRRX1,76
NFKBIB,75
DLX5,74
RORA,74
ZFPM2,74
HOXB1,73
MYOD1,72
NFE2,72
PBX2,69
ATF6,68
PITX1,68
RFX4,67
ZNF598,67
HOXA9,66
HOXA5,65
CEBPD,63
JUND,63
RARG,62
CREB3,61
HEY1,60
JDP2,60
RUNX2,60
THRB,60
LRP2,59
HIF1A,59
TNNI3,58
GLI2,57
CREB3L1,55
ISL1,55
NR2C2,55
HLF,54
MYOG,54
SMARCC2,54
ESR2,53
IRF2,52
KCNIP3,51
ATF3,50
CTCF,49
GFI1B,49
ELF1,48
ETV6,48
FOXA1,48
FOXP1,48
MSC,47
TFAP2A,47
COL2A1,45
DNMT3A,45
PDX1,45
SKIL,45
PURB,44
ZHX3,43
NEUROD1,42
RARB,42
EGR1,41
FOXO3,40
HHEX,39
PITX2,39
SOX9,39
PRDM1,38
SREBF2,38
E2F6,37
PBX3,37
SMARCD1,37
ELF4,36
EN1,36
HOXA13,36
MAZ,36
MEOX1,36
MLLT6,36
BHLHE40,35
STAT1,35
HOXB6,34
NFKBIE,34
KLF6,33
POU3F4,32
ZHX2,32
NR5A2,31
IKZF3,30
ZBTB32,30
FGG,29
EBF1,29
HOXD9,29
SOX4,29
ZNF205,29
ERBB4,28
POU3F3,28
TFAP2B,28
BCL3,27
OTX2,27
ZNF24,27
PATZ1,26
CDX2,25
RORB,25
TERF1,25
MATR3,24
POU1F1,24
POU3F2,24
RFXANK,24
TRERF1,24
BATF,23
FOXP3,23
GFI1,23
MAX,23
MYBL2,23
RFXAP,22
SERPINA5,21
TAL1,21
